EN01 ['F', 'V', 'V'] - ['0.0', '0.52', '1.0'] 
EN02 ['V', 'F', 'V'] - ['1.0', '0.333333333333333', '1.0'] 
EN03 ['V', 'V', 'V'] - ['1.0', '0.548387096774194', '1.0'] 
EN04 ['V', 'F', 'V'] - ['1.0', '0.469387755102041', '1.0'] 
EN05 ['V', 'V', 'V'] - ['0.617647058823529', '0.617647058823529', '1.0'] 
EN06 ['V', 'F', 'V'] - ['0.772727272727273', '0.363636363636364', '1.0'] 
EN07 ['V', 'F', 'V'] - ['1.0', '0.288659793814433', '0.979381443298969'] 
EN08 ['V', 'F', 'V'] - ['0.746031746031746', '0.444444444444444', '1.0'] 
EN09 ['V', 'F', 'V'] - ['0.537037037037037', '0.351851851851852', '1.0'] 
EN10 ['F', 'F', 'V'] - ['0.0', '0.422222222222222', '1.0'] 
EN11 ['F', 'V', 'V'] - ['0.403508771929825', '0.508771929824561', '1.0'] 
EN12 ['V', 'F', 'V'] - ['1.0', '0.377777777777778', '1.0'] 
EN13 ['F', 'V', 'V'] - ['0.244635193133047', '0.579399141630901', '1.0'] 
EN14 ['F', 'V', 'V'] - ['0.0', '0.5375', '1.0'] 
EN15 ['V', 'V', 'V'] - ['1.0', '0.8', '1.0'] 
EN16 ['V', 'F', 'V'] - ['1.0', '0.416666666666667', '1.0'] 
EN17 ['V', 'V', 'V'] - ['1.0', '0.611111111111111', '1.0'] 
EN18 ['V', 'V', 'V'] - ['1.0', '0.865546218487395', '0.957983193277311'] 
EN19 ['V', 'F', 'V'] - ['1.0', '0.145833333333333', '1.0'] 
EN20 ['V', 'F', 'V'] - ['1.0', '0.277777777777778', '1.0'] 
EN21 ['F', 'F', 'V'] - ['0.473684210526316', '0.333333333333333', '1.0'] 
EN22 ['V', 'V', 'V'] - ['1.0', '0.7', '1.0'] 
EN23 ['F', 'F', 'V'] - ['0.0', '0.222222222222222', '1.0'] 
EN24 ['V', 'F', 'V'] - ['1.0', '0.307692307692308', '1.0'] 
EN25 ['V', 'F', 'V'] - ['1.0', '0.473684210526316', '1.0'] 
EN51 ['V', 'V', 'V'] - ['1.0', '0.55952380952381', '1.0'] 
EN52 ['V', 'F', 'V'] - ['1.0', '0.447368421052632', '1.0'] 
EN53 ['V', 'F', 'V'] - ['1.0', '0.125', '1.0'] 
EN54 ['V', 'F', 'V'] - ['1.0', '0.333333333333333', '1.0'] 
EN55 ['V', 'F', 'V'] - ['1.0', '0.05', '1.0'] 
EN56 ['V', 'V', 'V'] - ['1.0', '0.6', '1.0'] 
EN57 ['F', 'V', 'V'] - ['0.0309278350515464', '0.597938144329897', '1.0'] 
EN58 ['V', 'F', 'V'] - ['0.521739130434783', '0.467391304347826', '1.0'] 
EN59 ['V', 'V', 'V'] - ['0.607843137254902', '0.529411764705882', '1.0'] 
EN60 ['F', 'F', 'V'] - ['0.28', '0.44', '1.0'] 
EN61 ['V', 'V', 'V'] - ['1.0', '0.64', '1.0'] 
EN62 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN63 ['V', 'F', 'V'] - ['1.0', '0.296', '0.976'] 
EN64 ['V', 'F', 'V'] - ['1.0', '0.19047619047619', '1.0'] 
EN65 ['V', 'F', 'V'] - ['1.0', '0.111111111111111', '1.0'] 
EN66 ['V', 'V', 'V'] - ['0.947368421052632', '0.552631578947368', '1.0'] 
EN67 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN68 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN69 ['V', 'V', 'V'] - ['1.0', '0.5', '1.0'] 
EN70 ['V', 'F', 'V'] - ['1.0', '0.272727272727273', '1.0'] 
EN71 ['V', 'F', 'V'] - ['1.0', '0.37037037037037', '1.0'] 
EN72 ['V', 'V', 'V'] - ['1.0', '0.536585365853659', '1.0'] 
