EN26 ['F', 'F', 'V'] - ['0.0606060606060606', '0.303030303030303', '1.0'] 
EN27 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN28 ['V', 'V', 'V'] - ['1.0', '0.590909090909091', '1.0'] 
EN29 ['F', 'V', 'V'] - ['0.263157894736842', '0.631578947368421', '1.0'] 
EN30 ['V', 'V', 'V'] - ['1.0', '0.657894736842105', '1.0'] 
EN31 ['V', 'F', 'V'] - ['0.984848484848485', '0.393939393939394', '1.0'] 
EN32 ['V', 'V', 'V'] - ['1.0', '0.5', '1.0'] 
EN33 ['V', 'F', 'V'] - ['0.81437125748503', '0.323353293413174', '1.0'] 
EN34 ['V', 'F', 'V'] - ['1.0', '0.294117647058824', '1.0'] 
EN35 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN36 ['V', 'F', 'V'] - ['1.0', '0.277777777777778', '1.0'] 
EN37 ['V', 'V', 'V'] - ['1.0', '0.578947368421053', '1.0'] 
EN38 ['V', 'V', 'V'] - ['1.0', '0.829787234042553', '1.0'] 
EN39 ['V', 'F', 'V'] - ['1.0', '0.333333333333333', '1.0'] 
EN40 ['V', 'F', 'V'] - ['1.0', '0.185185185185185', '1.0'] 
EN41 ['V', 'F', 'V'] - ['0.970198675496689', '0.458609271523179', '0.998344370860927'] 
EN42 ['V', 'F', 'V'] - ['1.0', '0.266666666666667', '1.0'] 
EN43 ['V', 'F', 'V'] - ['1.0', '0.1875', '1.0'] 
EN44 ['V', 'F', 'V'] - ['1.0', '0.333333333333333', '1.0'] 
EN45 ['F', 'F', 'V'] - ['0.0423728813559322', '0.296610169491525', '1.0'] 
EN46 ['F', 'F', 'V'] - ['0.213483146067416', '0.359550561797753', '1.0'] 
EN47 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN48 ['V', 'F', 'V'] - ['1.0', '0.236842105263158', '1.0'] 
EN49 ['V', 'F', 'V'] - ['1.0', '0.493670886075949', '1.0'] 
EN50 ['V', 'V', 'V'] - ['1.0', '0.652173913043478', '1.0'] 
EN76 ['V', 'F', 'V'] - ['1.0', '0.441176470588235', '1.0'] 
EN77 ['V', 'F', 'V'] - ['1.0', '0.478260869565217', '1.0'] 
EN78 ['V', 'F', 'V'] - ['1.0', '0.391304347826087', '1.0'] 
EN79 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN80 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN81 ['V', 'F', 'V'] - ['1.0', '0.296296296296296', '1.0'] 
EN82 ['V', 'V', 'V'] - ['1.0', '0.5', '1.0'] 
EN83 ['V', 'V', 'V'] - ['1.0', '0.6', '1.0'] 
EN84 ['V', 'F', 'V'] - ['1.0', '0.352941176470588', '1.0'] 
EN85 ['V', 'F', 'V'] - ['1.0', '0.328358208955224', '1.0'] 
EN86 ['V', 'V', 'V'] - ['1.0', '0.535714285714286', '1.0'] 
EN87 ['V', 'V', 'V'] - ['1.0', '0.511111111111111', '1.0'] 
EN88 ['V', 'F', 'V'] - ['1.0', '0.423076923076923', '1.0'] 
EN89 ['V', 'F', 'V'] - ['1.0', '0.371428571428571', '1.0'] 
EN90 ['V', 'V', 'V'] - ['1.0', '0.557377049180328', '1.0'] 
EN91 ['V', 'F', 'V'] - ['1.0', '0.166666666666667', '1.0'] 
EN92 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN93 ['V', 'F', 'V'] - ['1.0', '0.25', '1.0'] 
