EN101 ['F', 'F', 'V'] - ['0.333333333333333', '0.333333333333333', '1.0'] 
EN102 ['V', 'V', 'V'] - ['0.666666666666667', '0.916666666666667', '1.0'] 
EN103 ['V', 'F', 'F'] - ['1.0', '0.290322580645161', '0.161290322580645'] 
EN104 ['V', 'F', 'V'] - ['1.0', '0.181818181818182', '0.818181818181818'] 
EN105 ['F', 'V', 'V'] - ['0.25', '0.75', '1.0'] 
EN106 ['V', 'V', 'V'] - ['1.0', '0.833333333333333', '0.916666666666667'] 
EN107 ['F', 'V', 'V'] - ['0.2', '0.6', '1.0'] 
EN108 ['V', 'F', 'V'] - ['1.0', '0.133333333333333', '0.933333333333333'] 
EN109 ['V', 'V', 'V'] - ['1.0', '0.916666666666667', '0.833333333333333'] 
EN110 ['V', 'F', 'F'] - ['1.0', '0.290322580645161', '0.0'] 
EN111 ['V', 'V', 'V'] - ['1.0', '0.8', '1.0'] 
EN112 ['V', 'F', 'F'] - ['1.0', '0.4375', '0.265625'] 
EN113 ['F', 'V', 'V'] - ['0.25', '0.75', '1.0'] 
EN114 ['V', 'V', 'F'] - ['1.0', '0.571428571428571', '0.428571428571429'] 
EN115 ['V', 'V', 'F'] - ['1.0', '0.815789473684211', '0.315789473684211'] 
EN116 ['V', 'V', 'F'] - ['1.0', '0.741935483870968', '0.161290322580645'] 
EN117 ['F', 'V', 'V'] - ['0.142857142857143', '0.571428571428571', '0.857142857142857'] 
EN118 ['V', 'V', 'F'] - ['1.0', '0.552631578947368', '0.263157894736842'] 
EN119 ['V', 'V', 'V'] - ['1.0', '0.571428571428571', '0.857142857142857'] 
EN120 ['V', 'F', 'F'] - ['1.0', '0.25', '0.0'] 
EN121 ['V', 'F', 'V'] - ['0.666666666666667', '0.416666666666667', '0.916666666666667'] 
EN122 ['V', 'F', 'F'] - ['1.0', '0.111111111111111', '0.222222222222222'] 
EN123 ['V', 'F', 'F'] - ['1.0', '0.4375', '0.0'] 
EN124 ['V', 'V', 'V'] - ['1.0', '1.0', '0.75'] 
EN125 ['F', 'F', 'V'] - ['0.2', '0.2', '1.0'] 
EN126 ['V', 'V', 'V'] - ['1.0', '0.9375', '0.75'] 
EN127 ['F', 'V', 'V'] - ['0.25', '0.75', '1.0'] 
EN128 ['V', 'F', 'F'] - ['1.0', '0.0526315789473684', '0.0263157894736842'] 
EN129 ['V', 'V', 'F'] - ['1.0', '0.815789473684211', '0.315789473684211'] 
EN130 ['V', 'F', 'V'] - ['1.0', '0.181818181818182', '0.909090909090909'] 
EN131 ['V', 'V', 'V'] - ['1.0', '0.516129032258065', '0.548387096774194'] 
EN132 ['V', 'V', 'F'] - ['1.0', '0.605263157894737', '0.0'] 
EN133 ['V', 'F', 'V'] - ['0.727272727272727', '0.454545454545455', '0.909090909090909'] 
EN134 ['V', 'V', 'V'] - ['1.0', '0.583333333333333', '0.666666666666667'] 
EN135 ['V', 'F', 'V'] - ['1.0', '0.375', '0.625'] 
EN136 ['V', 'F', 'F'] - ['1.0', '0.4375', '0.125'] 
EN137 ['F', 'V', 'V'] - ['0.2', '0.8', '0.8'] 
EN138 ['V', 'V', 'V'] - ['1.0', '0.727272727272727', '0.818181818181818'] 
EN139 ['V', 'V', 'V'] - ['1.0', '0.538461538461538', '0.846153846153846'] 
EN140 ['V', 'F', 'V'] - ['1.0', '0.444444444444444', '0.555555555555556'] 
EN141 ['V', 'F', 'F'] - ['1.0', '0.258064516129032', '0.0'] 
EN142 ['V', 'F', 'F'] - ['1.0', '0.461538461538462', '0.230769230769231'] 
EN143 ['V', 'F', 'F'] - ['1.0', '0.263157894736842', '0.184210526315789'] 
EN144 ['V', 'V', 'V'] - ['1.0', '0.75', '0.75'] 
EN145 ['V', 'V', 'V'] - ['1.0', '0.642857142857143', '0.535714285714286'] 
EN146 ['V', 'F', 'F'] - ['1.0', '0.3125', '0.0'] 
EN147 ['V', 'V', 'V'] - ['1.0', '0.833333333333333', '0.75'] 
EN148 ['V', 'V', 'V'] - ['1.0', '0.666666666666667', '0.5'] 
EN149 ['F', 'V', 'V'] - ['0.0', '0.75', '1.0'] 
EN150 ['V', 'V', 'V'] - ['1.0', '0.555555555555556', '1.0'] 
EN151 ['V', 'F', 'V'] - ['1.0', '0.266666666666667', '0.733333333333333'] 
EN152 ['V', 'V', 'F'] - ['1.0', '0.708333333333333', '0.166666666666667'] 
EN153 ['V', 'V', 'V'] - ['1.0', '0.875', '0.875'] 
EN154 ['V', 'V', 'V'] - ['0.727272727272727', '0.636363636363636', '0.909090909090909'] 
EN155 ['V', 'V', 'V'] - ['1.0', '0.923076923076923', '0.923076923076923'] 
EN156 ['V', 'V', 'V'] - ['0.888888888888889', '0.555555555555556', '1.0'] 
EN157 ['V', 'V', 'V'] - ['1.0', '0.928571428571429', '0.678571428571429'] 
EN158 ['V', 'F', 'F'] - ['1.0', '0.0', '0.0'] 
EN159 ['V', 'V', 'F'] - ['1.0', '0.5', '0.2'] 
EN160 ['F', 'V', 'V'] - ['0.25', '0.75', '1.0'] 
EN161 ['V', 'F', 'V'] - ['1.0', '0.466666666666667', '0.933333333333333'] 
EN162 ['V', 'V', 'F'] - ['1.0', '0.796875', '0.171875'] 
EN163 ['V', 'V', 'V'] - ['0.875', '0.5', '0.875'] 
EN164 ['F', 'V', 'V'] - ['0.25', '0.75', '1.0'] 
EN165 ['V', 'F', 'V'] - ['1.0', '0.1875', '0.5'] 
EN166 ['V', 'F', 'V'] - ['1.0', '0.166666666666667', '0.833333333333333'] 
EN167 ['V', 'F', 'F'] - ['1.0', '0.387096774193548', '0.0'] 
EN168 ['V', 'F', 'F'] - ['1.0', '0.0', '0.153846153846154'] 
EN169 ['V', 'V', 'F'] - ['1.0', '0.5', '0.0263157894736842'] 
EN170 ['V', 'V', 'V'] - ['1.0', '0.75', '1.0'] 
EN171 ['V', 'V', 'V'] - ['1.0', '0.903225806451613', '0.516129032258065'] 
EN172 ['F', 'F', 'V'] - ['0.111111111111111', '0.111111111111111', '0.888888888888889'] 
EN173 ['V', 'F', 'F'] - ['1.0', '0.210526315789474', '0.342105263157895'] 
EN174 ['V', 'V', 'V'] - ['1.0', '0.857142857142857', '0.75'] 
EN175 ['V', 'V', 'V'] - ['1.0', '0.571428571428571', '0.678571428571429'] 
EN176 ['V', 'F', 'V'] - ['0.6', '0.4', '0.8'] 
EN177 ['V', 'V', 'F'] - ['1.0', '0.8', '0.0'] 
EN178 ['V', 'V', 'F'] - ['1.0', '0.67741935483871', '0.032258064516129'] 
EN179 ['V', 'F', 'F'] - ['1.0', '0.4375', '0.0'] 
EN180 ['V', 'F', 'F'] - ['1.0', '0.466666666666667', '0.0'] 
EN181 ['V', 'F', 'V'] - ['1.0', '0.2', '0.933333333333333'] 
EN182 ['V', 'V', 'F'] - ['1.0', '0.548387096774194', '0.483870967741935'] 
EN183 ['V', 'F', 'V'] - ['0.916666666666667', '0.333333333333333', '0.833333333333333'] 
EN184 ['V', 'F', 'V'] - ['0.75', '0.0', '1.0'] 
EN185 ['V', 'V', 'V'] - ['1.0', '0.75', '1.0'] 
EN186 ['F', 'V', 'V'] - ['0.25', '0.75', '1.0'] 
EN187 ['V', 'V', 'V'] - ['1.0', '0.875', '1.0'] 
EN188 ['V', 'F', 'F'] - ['1.0', '0.193548387096774', '0.193548387096774'] 
EN189 ['V', 'F', 'V'] - ['0.916666666666667', '0.25', '0.833333333333333'] 
EN190 ['V', 'V', 'F'] - ['1.0', '0.583333333333333', '0.458333333333333'] 
EN191 ['V', 'F', 'F'] - ['1.0', '0.210526315789474', '0.342105263157895'] 
EN192 ['V', 'V', 'V'] - ['1.0', '0.75', '0.75'] 
EN193 ['F', 'V', 'V'] - ['0.25', '0.75', '1.0'] 
EN194 ['V', 'V', 'V'] - ['1.0', '0.571428571428571', '0.571428571428571'] 
EN195 ['V', 'F', 'F'] - ['1.0', '0.0833333333333333', '0.0833333333333333'] 
EN196 ['V', 'F', 'V'] - ['1.0', '0.2', '0.8'] 
EN197 ['V', 'V', 'V'] - ['0.777777777777778', '0.666666666666667', '0.888888888888889'] 
EN198 ['V', 'F', 'F'] - ['1.0', '0.466666666666667', '0.266666666666667'] 
EN199 ['V', 'V', 'V'] - ['1.0', '0.714285714285714', '0.857142857142857'] 
EN200 ['V', 'F', 'F'] - ['1.0', '0.181818181818182', '0.363636363636364'] 
